id,age,gender,education,years_experience,personality,interests,field,career,technical_skills,communication_skills,leadership_skills,problem_solving,creativity,salary_expectations,international_opportunities,work_life_balance,advancement_goals,market_demand,economic_conditions,industry_growth,success_probability,success,salary,career_satisfaction,job_stability,international_experience,advancement_achieved,work_life_satisfaction,success_rate
1,58,Male,high_school,32,creative,healthcare,healthcare,Mental Health,9,2,10,7,1,entry_level,very_interested,moderately_important,research,0.8,0.82,0.97,0.95,1,86592,7,4,3,1,4,95.0
2,28,Other,masters,1,leadership,healthcare,healthcare,Medical Practice,2,7,2,6,6,flexible,not_interested,very_important,"consulting,research,management",0.99,0.75,0.84,0.95,1,87516,10,15,0,2,10,95.0
3,30,Other,high_school,8,creative,"technology,healthcare",technology,DevOps Engineering,5,8,6,3,6,senior_level,somewhat_interested,less_important,"teaching,management,specialization",0.77,0.7,0.77,0.95,1,167040,9,4,2,0,5,95.0
4,20,Female,masters,0,analytical,education,education,Educational Technology,8,7,8,3,5,mid_level,somewhat_interested,less_important,"research,consulting,teaching",0.68,1.0,0.51,0.95,1,87360,1,14,0,1,9,95.0
5,28,Other,masters,5,supportive,"education,engineering",engineering,Biomedical Engineering,1,2,9,5,6,entry_level,not_interested,not_important,consulting,0.5,0.89,0.98,0.95,0,52624,2,5,0,0,4,95.0
6,58,Female,phd,33,creative,"healthcare,education",healthcare,Physical Therapy,6,8,1,2,6,senior_level,somewhat_interested,very_important,research,0.97,0.63,0.79,0.95,1,306768,9,13,1,0,9,95.0
7,53,Male,bachelors,23,technical,"healthcare,education",healthcare,Mental Health,5,7,6,8,9,executive,very_interested,moderately_important,management,0.67,0.84,0.58,0.95,1,346896,2,12,0,0,4,95.0
8,20,Female,high_school,0,creative,"marketing,engineering",marketing,Social Media Marketing,3,10,10,8,4,executive,remote_international,moderately_important,management,0.83,0.74,0.73,0.95,1,162000,1,11,0,0,4,95.0
9,43,Other,bachelors,20,creative,healthcare,healthcare,Nursing,7,3,5,8,4,entry_level,remote_international,very_important,teaching,1.0,0.93,1.18,0.95,1,88704,4,3,0,1,9,95.0
10,48,Male,masters,26,creative,"technology,engineering",engineering,Chemical Engineering,5,7,9,8,3,mid_level,not_interested,moderately_important,research,0.87,0.62,0.65,0.95,1,190881,8,9,0,0,4,95.0
11,50,Male,some_college,27,technical,marketing,marketing,Market Research,2,10,4,10,10,entry_level,very_interested,not_important,"research,teaching,entrepreneurship",0.97,0.68,0.97,0.95,1,73180,7,3,2,3,6,95.0
